date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-beefy,forecasted_TVL_opchain-beefy
2024-09-01 00:00:00,0.20266003380467548,0.22891310180550808,0.08010092984818504,1.4168398891224397e-05,0.0,0.0,259646363.87420377,248366184.39860114
2024-09-02 00:00:00,0.10028109301565817,0.37192938222118394,0.0534608039922062,2.3872644992157887e-05,0.0,0.0,295692086.4680645,267003724.32677025
2024-09-03 00:00:00,0.1084228512104831,0.291306918612911,0.06970285169673764,2.1651171328420438e-05,0.0,0.0,278139159.2248217,257240628.34103155
2024-09-04 00:00:00,0.21854490626311585,0.2241303680310486,0.0779712052773353,3.8341704261251534e-05,0.0,0.0,279872891.24154896,279779213.33636993
2024-09-05 00:00:00,0.3338712900226928,0.25032490141203984,0.03339213512311602,2.4388848055883314e-05,0.0,0.0,270635010.3464602,243436537.52725786
2024-09-06 00:00:00,0.2879128180194165,0.33100090078049527,0.04653655869196057,2.1669719453409234e-05,0.0,0.0,285369019.1816387,280039622.8039005
2024-09-07 00:00:00,0.16219349045145864,0.12620797065859415,0.006203255969175365,2.6175134922644823e-05,0.0,0.0,279776645.6007754,270761682.5619411
2024-09-08 00:00:00,0.20265191050380246,0.1426908930443963,0.03955644547394333,3.687483693410636e-05,0.0,0.0,294669960.5457947,233955757.76905227
2024-09-09 00:00:00,0.21650374416820928,0.1129909855733161,0.009035500474353631,2.456165422464071e-05,0.0,0.0,293799793.63955384,254367918.96843493
2024-09-10 00:00:00,0.3171653062363385,0.18705755323340967,0.015008875037062107,3.70363206131296e-05,0.0,0.0,300539028.31619257,257660708.38548434
2024-09-11 00:00:00,0.19203660740258965,0.171742270729536,0.039133320142407654,3.6339176992243004e-05,0.0,0.0,279809750.5904575,260912342.060835
2024-09-12 00:00:00,0.22782572995157607,0.12200618149053742,0.019504342893034224,2.9561149151555995e-05,0.0,0.0,317940061.2392581,249325065.8450173
2024-09-13 00:00:00,0.37662695710641103,0.2371307410113968,0.04169292086344905,2.440067801651595e-05,0.0,0.0,303458757.8241835,269102288.70456797
2024-09-14 00:00:00,0.27909128295680613,0.2829185244367681,0.03997714968021625,2.2186929131187377e-05,0.0,0.0,279506860.01154023,249036882.86165828
2024-09-15 00:00:00,0.22823831072061965,0.23064935818300653,0.036630757397104405,2.345420372454157e-05,0.0,0.0,335958063.5003381,272484963.2643827
2024-09-16 00:00:00,0.22796606543870188,0.19130983566254287,0.03235894182694562,3.517661821331242e-05,0.0,0.0,324151724.2936407,261976257.78924865
